GENESIS-Tabelle: 31121-03-02-5-B
Baufertigstellungen: Wohnungen in Wohn- und;;;;;;
Nichtwohngebäuden (einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baufertigstellungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01057015;Dersau;7;0;0;2;5
01057016;Dobersdorf;2;-1;0;2;1
01057017;Dörnick;-;-;-;-;-
01057018;Fahren;1;0;0;0;1
01057020;Fiefbergen;0;0;0;0;0
01057021;Giekau;3;0;2;-1;2
01057022;Grebin;2;0;1;0;1
01057023;Großbarkau;1;-1;0;1;1
01057024;Großharrie;1;0;0;0;1
01057025;Heikendorf;33;3;4;5;21
01057026;Helmstorf;-;-;-;-;-
01057027;Högsdorf;-;-;-;-;-
01057028;Höhndorf;1;0;0;0;1
01057029;Hohenfelde;2;0;2;0;0
01057030;Hohwacht (Ostsee);15;10;4;0;1
01057031;Honigsee;2;0;0;1;1
01057032;Kalübbe;1;0;0;0;1
01057033;Kirchbarkau;3;0;0;0;3
01057034;Kirchnüchel;-;-;-;-;-
01057035;Klamp;-;-;-;-;-
01057037;Klein Barkau;1;0;0;0;1
01057038;Kletkamp;-;-;-;-;-
01057039;Köhn;-;-;-;-;-
01057040;Krokau;1;0;0;0;1
01057041;Krummbek;0;0;0;0;0
01057042;Kühren;1;0;0;0;1
01057043;Laboe;-;-;-;-;-
01057044;Lammershagen;0;0;0;0;0
01057045;Lebrade;4;0;2;1;1
01057046;Lehmkuhlen;1;0;0;0;1
01057047;Löptin;0;0;0;0;0
01057048;Lütjenburg;5;-1;6;-2;2
01057049;Lutterbek;1;0;0;0;1
01057050;Martensrade;1;0;0;0;1
01057051;Mönkeberg;66;0;0;0;66
01057052;Mucheln;1;0;0;0;1
01057053;Nehmten;-;-;-;-;-
01057054;Nettelsee;0;0;0;0;0
01057055;Panker;6;0;0;1;5
01057056;Passade;1;0;-1;1;1
01057057;Plön;14;2;0;5;7
01057058;Pohnsdorf;-;-;-;-;-
01057059;Postfeld;0;0;0;0;0
01057060;Prasdorf;-;-;-;-;-
01057062;Preetz;114;18;19;48;29
01057063;Probsteierhagen;8;3;4;1;0
01057065;Rantzau;-;-;-;-;-
01057066;Rastorf;0;0;0;0;0
01057067;Rathjensdorf;2;0;0;1;1
01057068;Rendswühren;-;-;-;-;-
01057069;Ruhwinkel;1;0;0;0;1
01057070;Schellhorn;4;1;0;2;1
01057071;Schillsdorf;1;0;0;0;1
01057072;Schlesen;5;0;0;1;4
01057073;Schönberg (Holstein);-;-;-;-;-
01057074;Schönkirchen;52;0;2;12;38
01057076;Schwartbuck;1;0;1;0;0
01057077;Selent;7;0;0;0;7
01057078;Stakendorf;3;0;1;2;0
01057079;Stein;-;-;-;-;-
01057080;Stolpe;2;0;0;0;2
01057081;Stoltenberg;1;0;0;0;1
01057082;Tröndel;1;0;0;0;1
01057083;Tasdorf;-;-;-;-;-
01057084;Wahlstorf;2;0;0;0;2
01057085;Wankendorf;4;0;1;3;0
01057086;Warnau;0;0;-1;0;1
01057087;Wendtorf;-;-;-;-;-
01057088;Wisch;5;0;2;2;1
01057089;Wittmoldt;-;-;-;-;-
01057090;Fargau-Pratjau;2;0;0;0;2
01057091;Schwentinental;32;8;10;4;10
01058001;Achterwehr;4;0;0;0;4
01058003;Alt Duvenstedt;8;0;4;2;2
01058004;Altenhof;0;-1;0;1;0
