GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01053088;Mechow;443;25;12;8;-;-;3;1;-;10;10;402;1;-;10;4;2;0;0
01053089;Möhnsen;748;81;33;17;6;2;2;-;-;43;43;595;1;-;67;4;-;1;1
01053090;Mölln;2505;770;526;332;80;4;46;31;9;185;174;277;9;2;1273;170;14;1;1
01053091;Mühlenrade;374;28;11;6;0;1;1;0;-;14;14;312;-;-;30;3;1;0;0
01053092;Müssen;1146;133;67;45;1;0;6;2;1;59;37;828;-;-;163;16;4;2;2
01053093;Mustin;1188;79;44;34;1;1;3;1;1;31;31;885;1;-;145;78;0;-;-
01053094;Niendorf bei Berkenthin;399;32;13;9;-;0;1;1;-;18;18;309;-;-;48;9;-;1;1
01053095;Niendorf/Stecknitz;841;62;34;22;0;0;5;5;0;22;22;615;-;-;161;3;0;-;-
01053096;Nusse;622;84;48;36;1;3;2;0;3;28;28;478;-;0;47;12;0;0;0
01053097;Panten;1383;95;50;36;3;2;2;2;-;41;41;1105;9;5;129;25;8;21;21
01053098;Pogeez;451;55;26;23;0;3;0;0;-;26;22;359;-;-;35;1;-;0;0
01053099;Poggensee;544;34;16;13;-;0;0;0;-;18;18;370;-;2;137;2;-;2;2
01053100;Ratzeburg;3029;615;407;283;31;5;58;44;6;139;122;420;43;-;373;1603;12;5;4
01053101;Ritzerau;1111;49;22;17;-;-;2;2;-;25;25;569;-;-;447;45;0;0;0
01053102;Römnitz;515;23;7;2;0;-;7;7;-;9;9;335;-;-;153;5;-;0;0
01053103;Rondeshagen;951;98;47;35;-;22;4;4;-;25;25;770;-;-;76;7;-;-;-
01053104;Roseburg;1623;100;43;29;1;0;3;3;-;53;48;831;1;0;673;12;6;1;1
01053105;Sachsenwald;5849;250;5;1;4;-;2;2;-;243;223;121;1;-;5450;16;0;11;11
01053106;Sahms;594;42;18;13;-;0;2;0;0;21;20;500;1;1;42;3;5;4;4
01053107;Salem;2511;172;65;45;1;2;34;28;0;72;72;1207;0;0;912;191;2;26;26
01053108;Sandesneben;613;101;64;46;2;1;10;7;3;23;23;507;-;-;3;2;0;0;0
01053109;Schiphorst;815;54;32;20;0;0;1;1;-;21;21;690;-;-;69;2;-;0;0
01053110;Schmilau;1155;107;44;28;0;2;5;1;0;56;50;776;1;0;244;26;-;2;2
01053111;Schnakenbek;1302;98;45;35;0;0;12;11;1;40;39;394;-;-;649;155;2;4;3
01053112;Schönberg;1477;113;71;48;5;1;3;1;-;39;39;880;0;-;462;12;0;10;10
01053113;Schretstaken;847;53;30;21;-;1;1;0;-;21;21;578;0;-;213;3;-;-;-
01053114;Schürensöhlen;275;22;12;7;0;-;0;0;-;9;9;238;-;-;12;1;-;2;2
01053115;Schulendorf;1139;72;31;23;0;0;1;1;-;40;40;840;0;-;213;12;-;2;2
01053116;Schwarzenbek;1156;562;377;237;74;10;52;45;4;119;105;266;1;-;319;4;2;3;3
01053117;Seedorf;2789;102;56;45;0;1;7;5;1;37;37;1145;0;0;624;916;1;1;1
01053118;Siebenbäumen;882;67;36;21;1;2;2;1;1;26;26;781;0;-;26;5;-;3;3
01053119;Siebeneichen;468;46;12;10;0;0;6;1;1;26;21;384;-;0;29;8;0;1;1
01053120;Sierksrade;400;32;18;15;0;1;1;-;-;12;12;341;-;-;24;3;0;0;0
01053121;Sirksfelde;863;39;15;11;0;1;1;1;-;23;23;438;26;-;360;9;15;1;1
01053122;Steinhorst;1637;70;30;22;0;7;5;1;-;28;28;956;1;-;582;28;-;0;0
01053123;Sterley;2139;146;67;38;3;6;3;3;1;68;59;1356;-;-;600;34;2;1;1
01053124;Stubben;524;43;26;15;-;0;1;1;-;16;16;474;-;-;5;3;-;-;-
01053125;Talkau;488;49;24;20;0;2;2;0;0;20;20;342;-;-;95;2;-;-;-
01053126;Tramm;675;60;23;13;2;2;0;0;0;34;33;375;3;6;235;4;-;0;0
01053127;Walksfelde;351;20;12;10;0;1;0;0;-;6;6;313;-;-;16;1;-;0;0
01053128;Wangelau;652;37;13;6;-;5;1;1;-;18;18;538;-;-;69;6;1;0;-
01053129;Wentorf bei Hamburg;687;526;313;240;40;1;120;66;14;77;74;77;-;-;76;7;0;0;0
01053130;Wentorf (Amt Sandesneben);499;62;40;26;1;0;4;1;-;18;17;423;-;-;6;8;-;0;0
01053131;Wiershop;515;63;15;14;-;30;1;1;-;18;18;418;-;-;23;2;5;4;4
01053132;Witzeeze;1046;102;42;34;0;0;12;11;0;48;43;717;-;-;154;65;0;8;7
01053133;Wohltorf;597;197;138;129;0;1;12;4;-;45;40;221;-;-;170;7;-;2;2
01053134;Woltersdorf;790;63;29;19;1;1;0;0;-;32;27;571;-;2;130;8;16;1;1
01053135;Worth;607;35;18;11;2;-;-;-;-;17;17;532;-;-;36;4;-;-;-
01053136;Ziethen;1118;92;49;32;5;0;2;1;1;39;39;673;32;-;329;23;-;0;0
01054001;Achtrup;2990;245;132;68;2;5;5;1;1;101;94;2629;0;8;59;51;-;6;6
01054002;Ahrenshöft;879;104;39;20;5;26;5;-;-;34;34;664;-;-;31;22;43;15;15
01054003;Ahrenviöl;1011;75;43;16;5;2;1;0;-;30;30;921;7;-;5;9;-;1;1
01054004;Ahrenviölfeld;729;55;23;9;1;0;1;0;-;30;25;657;63;-;11;6;-;0;0
01054005;Alkersum;907;81;37;16;3;2;3;2;-;40;40;793;0;-;4;27;1;1;1
01054006;Almdorf;570;62;31;24;1;1;0;0;-;30;26;486;-;-;8;14;-;1;1
01054007;Arlewatt;557;46;27;13;1;1;4;2;-;15;15;460;-;-;3;24;20;4;4
01054009;Aventoft;1447;97;51;29;1;0;1;1;0;45;45;1040;0;-;139;130;-;42;42
01054010;Bargum;1729;234;140;37;1;1;16;15;0;76;69;1310;-;4;131;53;-;1;1
01054011;Behrendorf;1529;108;49;18;1;4;3;2;-;51;51;1386;-;-;13;16;-;6;6
01054012;Bohmstedt;1335;117;54;28;2;2;1;0;-;60;60;1014;2;-;174;22;0;8;8
01054013;Bondelum;918;52;22;7;0;0;0;0;-;30;28;801;-;-;48;14;0;3;3
01054014;Bordelum;3471;345;152;99;3;11;20;14;1;160;147;2818;-;18;228;69;1;10;10
01054015;Borgsum;551;57;30;16;1;0;2;2;-;24;24;472;-;-;4;10;3;5;4
01054016;Bosbüll;633;48;22;9;0;1;0;0;-;25;21;571;-;-;2;13;-;0;0
01054017;Braderup;1335;117;58;36;2;7;2;1;0;50;50;1035;0;-;154;29;-;1;1
01054018;Bramstedtlund;1385;124;79;11;1;2;1;1;0;42;42;1180;-;0;45;24;11;1;1
01054019;Bredstedt;975;332;217;141;33;7;25;14;3;82;72;550;-;-;71;19;-;3;3
01054020;Breklum;1006;216;130;92;6;4;14;7;3;66;61;755;-;-;20;9;0;5;5
01054022;Dagebüll;3692;286;118;60;6;6;6;3;1;157;145;2910;-;-;3;471;-;23;23
01054023;Drage;1633;94;49;31;3;3;2;2;-;40;33;1338;-;-;11;187;-;4;4
01054024;Drelsdorf;1770;175;94;52;7;2;5;1;1;73;73;1352;-;4;222;18;-;3;3
01054025;Dunsum;272;24;10;4;-;0;1;1;-;12;12;224;-;-;4;11;-;10;10
01054026;Elisabeth-Sophien-Koog;518;28;11;2;0;0;2;2;-;14;14;465;-;-;-;15;-;10;10
01054027;Ellhöft;782;46;19;7;-;0;1;-;-;26;25;700;-;-;13;21;-;1;1
01054032;Fresendelf;260;24;14;9;3;0;1;0;-;10;10;211;0;-;11;8;0;6;6
01054033;Friedrichstadt;403;165;88;48;12;5;26;22;2;45;33;156;-;-;2;73;-;7;7
01054034;Friedrich-Wilhelm-Lübke-Koog;1349;88;45;7;2;9;0;-;-;34;34;1200;-;-;1;60;-;0;0
01054035;Garding, Kirchspiel;1489;90;45;22;0;2;3;3;-;40;37;1367;0;-;11;21;-;0;0
01054036;Garding;306;149;103;80;4;5;9;5;3;29;25;152;-;-;2;2;-;0;0
01054037;Goldebek;1018;71;34;15;1;1;1;0;-;35;35;911;-;-;23;12;-;0;0
01054038;Goldelund;1202;91;40;16;-;1;2;1;-;49;49;1046;1;2;44;18;-;2;2
01054039;Gröde;252;1;1;0;-;-;0;0;0;0;0;188;-;-;-;6;-;57;57
01054040;Grothusenkoog;327;19;9;2;0;-;0;0;-;10;10;298;-;-;-;8;-;2;2
01054041;Haselund;1279;127;73;33;8;2;2;1;-;49;49;1104;11;0;8;17;-;22;22
01054042;Hattstedt;700;175;108;91;3;4;12;2;1;51;43;491;-;1;29;5;-;0;0
01054043;Hattstedtermarsch;3526;111;44;21;0;2;0;-;-;65;52;2156;0;-;1;860;-;398;398
01054045;Högel;1628;101;46;18;1;0;2;1;-;52;52;1431;-;-;67;27;0;1;1
01054046;Hörnum (Sylt);565;160;56;42;1;3;73;8;-;29;27;1;-;-;-;6;-;398;398
01054048;Holm;400;27;12;4;1;-;1;1;-;15;13;355;-;-;7;11;-;0;0
01054050;Hallig Hooge;578;25;6;3;1;2;4;3;0;13;13;509;-;-;-;38;-;5;5
01054052;Horstedt;1170;120;57;28;3;3;3;1;-;56;56;882;-;0;50;9;-;108;108
01054054;Hude;354;36;21;12;0;1;1;0;-;14;14;289;-;-;13;13;-;3;3
01054055;Humptrup;1699;150;81;44;2;0;2;1;1;67;60;1345;-;1;79;110;0;14;14
01054056;Husum;2581;1284;833;503;87;5;148;116;12;286;240;1054;-;1;123;53;-;67;67
01054057;Immenstedt;1461;93;40;21;-;1;2;1;-;50;50;1101;28;-;157;15;-;96;96
01054059;Joldelund;1912;142;66;31;1;3;3;1;1;69;69;1659;-;1;92;12;1;6;6
01054061;Kampen (Sylt);842;195;138;118;1;2;8;7;-;48;47;206;-;102;52;53;-;336;336
01054062;Karlum;1446;107;26;14;0;7;2;-;0;71;71;886;1;1;429;22;0;2;2
01054063;Katharinenheerd;840;39;17;11;0;0;0;0;0;22;17;790;-;-;1;10;-;0;0
01054065;Klanxbüll;1063;158;59;40;1;21;1;1;1;76;39;873;-;-;6;27;-;0;0
01054068;Klixbüll;1744;190;80;50;1;9;3;1;1;97;74;1507;0;-;12;29;-;6;6
01054070;Koldenbüttel;2580;136;64;43;0;2;4;2;0;67;42;2301;-;-;4;96;-;44;44
01054071;Kolkerheide;210;14;8;2;-;-;0;0;-;6;6;185;-;-;7;1;-;3;3
01054072;Kotzenbüll;777;51;20;12;-;0;5;5;1;25;22;708;-;-;3;16;-;-;-
01054073;Ladelund;2409;215;104;52;2;28;8;2;1;75;75;2003;0;-;138;44;7;2;1
01054074;Langeneß;1157;46;26;20;1;0;1;0;-;20;18;1000;-;-;-;65;-;46;46
01054075;Langenhorn;4740;535;246;142;19;6;55;49;1;227;217;3747;2;0;331;115;2;10;10
01054076;Leck;2979;773;337;218;13;10;29;15;2;396;154;1642;12;0;468;59;4;32;32
01054077;Lexgaard;524;18;7;4;-;-;-;-;-;11;11;399;3;3;97;6;-;4;4
01054078;List;1847;221;125;91;2;5;22;4;10;59;58;102;-;2;4;16;-;1504;1504
01054079;Löwenstedt;1962;189;102;21;47;5;4;1;-;79;79;1580;31;28;142;32;4;16;16
01054080;Lütjenholm;1071;72;31;17;-;1;1;1;-;38;38;751;-;2;224;24;-;1;1
01054083;Midlum;850;59;27;15;1;0;1;0;-;32;32;704;-;-;3;34;-;50;50
01054084;Mildstedt;871;222;142;108;9;7;15;10;2;55;50;569;-;1;67;9;-;4;4
01054085;Nebel;1196;157;107;87;5;2;8;2;1;39;39;454;-;47;150;4;-;431;427
01054086;Neukirchen;3158;253;120;60;6;6;7;2;0;119;113;2567;130;-;65;238;-;35;35
01054087;Nieblum;786;174;78;62;1;0;48;7;2;46;46;512;-;2;64;10;-;27;27
01054088;Niebüll;3063;707;428;241;51;12;56;40;4;208;167;2136;-;-;32;182;-;6;5
01054089;Norddorf auf Amrum;590;63;39;29;1;1;4;1;-;18;18;131;-;9;25;8;-;364;364
01054090;Norderfriedrichskoog;531;32;14;2;-;-;-;-;-;18;18;487;-;-;-;6;-;6;6
01054091;Nordstrand;5721;361;204;118;14;7;11;6;2;137;133;4066;-;-;8;524;-;762;762
01054092;Norstedt;1350;82;36;12;0;2;1;1;-;42;42;1139;-;0;119;7;-;2;2
01054093;Ockholm;1864;112;43;24;3;1;1;0;0;67;65;1263;-;-;1;476;-;13;13
01054094;Oevenum;1087;78;29;16;0;2;4;2;-;43;43;936;-;-;15;44;-;14;14
01054095;Oldenswort;4584;238;116;66;2;2;5;2;1;114;102;4141;-;-;8;174;-;22;22
01054096;Oldersbek;1082;97;45;24;1;5;1;0;-;47;45;954;1;-;14;10;-;6;6
01054097;Olderup;994;84;41;15;11;1;8;0;1;33;33;871;-;1;6;9;-;23;23
01054098;Oldsum;1331;106;41;22;2;1;5;5;-;60;60;1114;-;-;6;43;-;61;61
01054099;Ostenfeld (Husum);2767;203;94;56;3;1;19;9;1;87;87;2114;17;-;400;42;-;8;7
01054100;Osterhever;1850;106;53;24;0;0;3;3;0;49;45;1713;-;-;2;29;-;1;0
01054101;Oster-Ohrstedt;1129;116;56;24;6;6;4;1;-;51;44;878;-;-;126;8;-;1;1
01054103;Pellworm;3744;245;138;70;5;7;9;5;2;90;84;3345;48;-;1;83;-;70;70
01054104;Poppenbüll;1552;86;40;13;-;0;5;5;0;41;41;1443;-;-;2;18;-;3;3
01054105;Ramstedt;542;57;32;21;0;1;3;2;-;21;18;447;-;-;22;13;-;2;2
01054106;Rantrum;1369;182;95;60;4;10;9;2;-;68;64;1136;-;-;31;13;0;8;5
01054107;Rantum (Sylt);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01054108;Reußenköge;4591;190;82;17;6;17;0;0;-;91;91;3605;-;-;0;596;-;201;201
01054109;Risum-Lindholm;3603;478;263;158;16;23;11;3;2;180;170;2976;1;1;23;122;-;3;3
01054110;Rodenäs;1984;118;52;32;3;5;2;1;-;59;58;1618;-;-;2;143;-;103;102
01054113;Sankt Peter-Ording;2832;557;313;238;7;6;95;33;2;141;130;1580;-;2;99;50;3;542;542
01054116;Schwabstedt;1964;149;70;52;2;2;7;4;1;68;66;1452;205;-;257;71;-;35;35
01054118;Schwesing;1563;181;60;36;0;9;48;1;1;63;59;1116;-;21;123;9;-;135;134
01054119;Seeth;1356;173;49;25;0;1;77;73;-;47;44;1094;15;16;9;71;-;9;9
01054120;Simonsberg;1748;158;55;35;0;37;14;10;0;52;48;1473;-;-;1;80;-;36;36
01054121;Sönnebüll;429;44;22;13;0;1;1;1;-;20;20;365;-;-;2;2;0;18;18
01054123;Sollwitt;1095;73;33;10;0;0;0;0;-;39;39;883;-;-;100;10;-;29;29
01054124;Sprakebüll;1137;71;30;11;-;4;2;1;-;35;31;936;7;-;111;19;-;0;0
01054125;Stadum;1974;239;121;44;9;8;27;1;-;82;82;1367;0;1;339;29;-;0;0
01054126;Stedesand;1519;137;71;35;2;4;2;0;-;60;49;1319;-;-;3;59;-;1;1
01054128;Struckum;892;118;64;41;6;2;4;3;-;48;44;751;1;-;2;19;-;2;2
01054129;Süderende;259;33;17;8;0;0;3;1;1;12;12;215;-;-;6;5;-;0;0
01054130;Süderhöft;260;18;3;1;-;1;2;2;-;12;12;197;-;-;18;20;-;7;7
01054131;Süderlügum;2659;328;167;96;14;6;13;4;0;142;135;1662;32;65;611;57;-;2;2
01054132;Südermarsch;3023;174;20;8;1;1;8;8;-;145;135;2564;-;-;34;87;-;164;164
01054133;Sylt-Ost;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01054134;Tating;2949;214;106;70;1;2;9;8;1;96;81;2589;-;-;5;61;-;81;81
01054135;Tetenbüll;3643;196;95;46;1;0;6;5;0;95;91;3335;-;-;2;108;-;3;3
01054136;Tinningstedt;891;107;27;13;0;0;1;-;-;79;26;725;-;0;44;14;-;0;0
01054138;Tönning;4441;442;217;148;17;5;53;43;3;163;139;2717;31;1;314;783;-;186;186
01054140;Tümlauer Koog;620;43;24;10;0;0;2;1;-;17;17;547;-;-;0;17;-;12;12
01054141;Uelvesbüll;1023;66;37;19;1;0;1;1;0;28;28;936;-;-;1;14;-;6;5
01054142;Uphusum;706;65;30;20;1;1;0;0;-;34;30;563;1;-;17;44;-;17;17
01054143;Utersum;526;75;42;26;0;3;4;3;-;26;26;383;0;-;28;16;-;25;24
01054144;Viöl;1895;204;115;58;7;3;9;4;2;74;74;1615;-;-;19;25;30;4;4
01054145;Vollerwiek;462;49;34;20;0;0;1;0;0;13;13;407;-;-;1;5;-;-;-
01054146;Vollstedt;618;49;16;7;1;3;1;1;-;29;29;557;-;-;8;4;-;0;-
01054148;Welt;820;68;33;20;-;-;0;0;-;35;35;735;0;-;1;16;-;1;1
01054149;Wenningstedt-Braderup (Sylt);616;230;143;126;1;2;40;20;0;44;44;282;-;77;8;14;5;77;77
01054150;Westerhever;1332;114;35;22;1;0;1;1;-;78;32;1169;-;-;0;41;-;8;8
01054151;Westerland;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01054152;Wester-Ohrstedt;1854;145;74;36;1;3;1;1;-;67;56;1360;-;-;329;18;-;2;1
01054154;Westre;1913;126;50;23;1;7;3;0;-;65;64;1471;-;16;271;38;-;8;7
01054156;Winnert;1888;117;56;28;3;5;2;1;-;54;52;1657;20;-;59;29;-;25;25
01054157;Wisch;305;23;9;5;-;-;1;1;-;12;10;266;0;-;8;6;0;2;2
01054158;Witsum;159;16;9;7;-;-;0;0;-;6;6;120;-;-;4;2;-;16;16
01054159;Wittbek;1991;125;59;26;1;6;1;-;-;58;58;1734;-;-;104;21;1;7;7
01054160;Wittdün auf Amrum;260;56;30;23;1;1;8;7;-;17;11;19;-;9;9;7;-;169;169
01054161;Witzwort;2814;184;89;48;6;0;3;1;1;90;76;2563;-;-;5;60;-;2;2
01054162;Wobbenbüll;169;40;31;26;-;-;1;0;-;8;8;125;-;-;3;1;-;0;0
01054163;Wrixum;756;70;30;24;0;1;6;1;-;33;33;610;-;-;52;22;-;2;2
01054164;Wyk auf Föhr;808;307;186;132;8;6;24;12;3;88;65;393;-;-;36;60;0;13;13
01054165;Galmsbüll;4905;232;86;43;1;5;3;3;2;136;132;4564;0;-;5;102;-;1;1
01054166;Emmelsbüll-Horsbüll;3573;297;121;68;5;28;10;8;0;138;130;3108;-;-;15;144;-;10;10
01054167;Enge-Sande;2482;236;133;54;31;5;7;3;2;90;87;1817;-;5;348;57;-;23;23
01054168;Sylt;5732;1672;670;505;34;29;163;81;6;804;308;2400;-;90;105;764;26;765;760
01055001;Ahrensbök;9537;698;396;228;30;10;38;28;6;248;247;7349;20;-;1332;96;25;36;36
01055002;Altenkrempe;3664;200;77;51;0;12;16;12;2;93;84;2689;0;-;690;61;1;23;22
01055004;Bad Schwartau;1839;678;450;332;36;3;61;43;5;159;152;923;0;0;190;32;14;3;3
01055006;Beschendorf;854;82;36;28;0;0;0;0;-;46;40;739;-;-;20;12;0;0;0
01055007;Bosau;6425;423;223;145;0;2;47;17;1;151;151;5352;0;-;521;112;8;10;10
01055010;Dahme;911;162;84;72;0;0;34;29;-;44;43;581;2;-;111;20;0;38;38
01055011;Damlos;935;83;36;28;0;0;2;1;-;45;43;556;-;-;292;3;0;0;0
01055012;Eutin;4140;934;574;371;42;8;96;67;12;243;226;1659;0;-;920;598;11;18;16
01055014;Göhl;2120;130;70;38;2;14;10;7;-;36;33;1873;-;-;56;23;0;38;38
01055015;Gremersdorf;4576;310;112;55;6;21;39;37;-;138;136;3845;7;-;103;52;14;251;251
01055016;Grömitz;5111;724;353;289;6;20;170;94;3;178;174;3912;-;-;354;73;0;47;47
01055017;Großenbrode;2098;306;125;92;16;7;60;30;2;111;95;1593;-;-;43;114;1;43;43
01055018;Grube;2020;182;65;50;7;1;45;41;1;70;59;1702;-;-;57;54;-;24;24
01055020;Harmsdorf;1782;69;42;28;-;1;3;1;-;22;22;1240;-;-;436;37;-;1;1
01055021;Heiligenhafen;1832;515;288;197;18;12;54;32;7;154;137;861;3;-;30;330;0;96;96
01055022;Heringsdorf (Holstein);2942;199;96;61;0;3;32;23;-;69;64;2559;-;-;145;24;0;15;15
01055023;Kabelhorst;574;50;26;21;-;0;2;1;-;22;22;511;-;-;11;3;-;-;-
01055024;Kasseedorf;3377;223;104;58;7;10;31;19;-;78;78;1961;5;-;989;155;42;7;7
01055025;Kellenhusen (Ostsee);817;134;67;53;0;0;27;22;-;40;40;212;-;-;456;4;-;11;11
01055027;Lensahn;2770;346;219;136;20;2;17;13;3;104;97;2086;1;-;298;39;1;1;1
01055028;Malente;6906;785;468;340;24;14;73;42;6;223;191;3543;5;-;1491;976;108;3;3
01055029;Manhagen;963;49;23;17;-;1;1;0;-;24;24;675;-;-;232;4;1;1;-
01055031;Neukirchen;2850;250;81;54;1;1;97;71;2;69;60;2408;0;-;59;117;1;15;15
01055032;Neustadt in Holstein;1974;792;452;284;37;14;140;117;8;178;150;887;16;-;55;209;-;31;31
01055033;Oldenburg in Holstein;3968;796;476;241;33;6;96;80;5;212;198;2169;23;-;180;123;2;698;695
01055035;Ratekau;5961;997;525;363;59;20;105;28;4;344;319;3716;16;-;1022;174;31;21;21
01055036;Riepsdorf;2581;150;76;50;-;2;8;6;-;64;64;2333;-;-;67;31;0;0;0
01055037;Schashagen;4146;441;158;116;10;2;128;47;-;153;146;3466;2;-;194;30;0;16;16
01055038;Schönwalde am Bungsberg;3906;244;137;86;2;2;16;11;1;88;88;2769;-;-;813;58;13;9;8
01055039;Sierksdorf;1950;298;105;64;1;0;61;29;0;133;119;1398;0;-;227;7;-;20;20
01055040;Stockelsdorf;5670;884;498;340;39;18;121;59;5;241;240;4607;25;0;121;51;2;5;5
01055041;Süsel;7531;636;359;210;17;6;49;35;3;219;201;5736;3;-;695;395;54;14;14
01055042;Timmendorfer Strand;2013;488;303;216;7;4;55;42;8;118;108;794;11;-;177;522;-;32;32
01055043;Wangels;6712;419;166;104;3;5;85;75;1;161;160;4977;5;-;1015;251;1;50;46
01055044;Scharbeutz;5253;910;506;364;22;5;103;76;4;292;265;3343;0;-;634;330;0;36;36
01055046;Fehmarn;18548;1730;774;528;33;29;288;196;6;633;590;15295;7;19;119;1090;0;314;313
01056001;Appen;2028;397;184;115;15;28;62;23;1;121;94;1377;22;2;157;59;31;8;8
01056002;Barmstedt;1717;412;270;189;29;4;30;23;8;99;94;920;-;-;359;26;-;0;0
01056003;Bevern;804;79;41;18;2;0;4;3;-;33;33;700;-;-;17;5;1;3;2
01056004;Bilsen;620;74;44;24;4;0;4;3;-;26;26;519;-;3;25;1;0;1;0
01056005;Bönningstedt;1205;273;145;93;18;1;61;6;3;63;56;764;-;-;151;17;-;0;0
01056006;Bokel;1602;106;49;19;4;4;7;1;-;46;46;1412;-;-;42;37;2;2;2
01056008;Bokholt-Hanredder;856;129;74;41;11;0;3;1;-;52;43;636;-;-;79;12;0;0;-
01056009;Borstel-Hohenraden;1488;205;93;63;1;1;46;5;-;65;64;1075;8;-;201;7;-;1;1
01056010;Brande-Hörnerkirchen;1314;143;77;47;2;2;8;5;2;54;54;1111;2;-;51;9;-;-;-
01056011;Bullenkuhlen;394;37;20;10;0;0;1;1;-;16;16;346;-;-;8;2;-;-;-
01056013;Ellerbek;911;237;168;123;26;1;17;7;-;50;50;627;-;-;31;16;-;-;-
01056014;Ellerhoop;1080;148;83;44;3;2;14;12;-;49;49;848;-;-;76;6;-;2;2
01056015;Elmshorn;2137;1511;991;645;130;18;182;127;17;303;274;446;-;-;127;52;-;1;0
01056016;Groß Nordende;564;54;37;21;3;1;3;3;-;14;14;475;-;-;14;17;-;4;4
01056017;Groß Offenseth-Aspern;1056;71;30;13;1;0;1;1;-;39;39;819;2;-;158;8;-;1;1
01056018;Halstenbek;1258;558;389;297;23;4;34;16;4;127;100;638;-;-;45;17;-;-;-
01056019;Haselau;1888;151;61;36;2;0;58;3;0;31;31;874;-;-;114;604;-;145;144
01056020;Haseldorf;1808;159;78;55;5;9;15;12;2;54;54;1376;-;-;60;81;-;133;133
01056021;Hasloh;1107;198;121;97;4;0;11;7;-;66;59;729;-;2;172;6;-;1;1
01056022;Heede;1548;126;59;27;9;1;9;5;-;57;55;1027;0;6;375;18;-;2;1
01056023;Heidgraben;538;157;106;87;4;0;12;6;-;39;38;330;-;-;38;10;-;4;3
01056024;Heist;996;264;109;83;4;1;16;7;1;136;45;464;2;2;182;11;-;75;75
01056025;Helgoland;420;72;30;10;8;3;13;10;1;26;13;3;-;-;6;247;-;91;91
01056026;Hemdingen;1642;168;87;49;6;2;11;4;-;69;69;1291;10;3;144;5;27;7;6
01056027;Hetlingen;2410;150;50;36;3;58;3;3;-;38;38;1132;-;-;176;842;-;110;110
01056028;Holm;1605;340;129;86;16;2;137;2;3;69;69;1031;-;60;215;17;1;1;0
01056029;Klein Nordende;1079;197;128;108;2;4;10;5;-;55;52;730;0;1;113;19;16;4;4
01056030;Klein Offenseth-Sparrieshoop;1692;270;142;87;10;7;13;9;-;107;101;1325;-;-;63;30;1;4;4
01056031;Kölln-Reisiek;677;157;96;69;4;0;11;9;7;44;42;457;-;-;53;8;1;0;0
01056032;Kummerfeld;650;140;78;50;7;4;11;4;2;44;44;373;1;-;129;8;-;0;0
01056033;Seester;1157;91;60;32;5;1;2;0;1;28;28;1009;-;-;13;44;-;-;-
01056034;Langeln;1028;92;44;19;1;0;1;0;-;47;44;846;-;-;74;9;4;2;1
01056035;Lutzhorn;2172;201;71;26;2;2;52;3;-;76;76;1595;-;-;345;14;17;1;1
01056036;Moorrege;1076;250;181;121;19;2;14;10;1;52;51;706;-;-;69;37;0;15;15
01056037;Neuendeich;854;70;39;20;1;0;6;5;-;25;25;748;-;-;2;34;-;0;0
01056038;Osterhorn;638;62;30;13;3;1;0;0;-;32;22;561;2;-;5;10;-;-;-
01056039;Pinneberg;2154;1244;793;555;88;17;157;100;17;259;221;702;-;-;161;35;0;12;12
01056040;Prisdorf;523;192;94;64;12;0;65;9;-;33;26;261;-;-;47;20;-;3;3
01056041;Quickborn;4317;1129;698;500;78;9;140;50;8;273;257;2193;1;50;810;39;143;3;3
01056042;Raa-Besenbek;1299;90;51;20;3;3;7;7;0;29;26;1173;-;-;3;32;-;0;0
01056043;Rellingen;1318;647;467;320;77;3;40;24;7;129;123;604;-;-;41;27;-;0;0
01056044;Schenefeld, Stadt;999;535;390;273;70;1;34;15;-;109;103;406;-;-;45;13;-;-;-
