GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
0714002047;Hausbay;87;48;39;0;0;0
0714002060;Hungenroth;76;50;26;5;.;.
0714002063;Karbach, Hunsrück;230;128;102;5;.;.
0714002075;Kratzenburg;162;90;72;4;.;.
0714002084;Leiningen;294;164;130;10;6;4
0714002087;Lingerhahn;184;106;78;.;0;.
0714002089;Maisborn;40;25;15;.;0;.
0714002093;Mermuth;100;58;42;3;0;3
0714002098;Mühlpfad;31;22;9;5;.;.
0714002102;Ney;128;63;65;0;0;0
0714002108;Niedert;36;20;16;4;.;.
0714002110;Norath;192;111;81;8;.;.
0714002117;Pfalzfeld;234;132;102;5;.;.
0714002140;Schwall;114;63;51;4;4;0
0714002149;Thörlingen;56;36;20;0;0;0
0714002156;Utzenhain;51;27;24;0;0;0
0714002201;Beulich;178;106;72;.;.;.
0714002205;Morshausen;138;84;54;5;.;.
0714003;Kastellaun, Verbandsgem.;5928;3282;2646;.;.;.
0714003001;Alterkülz;152;84;68;4;.;.
0714003009;Bell (Hunsrück);567;316;251;15;7;8
0714003010;Beltheim;705;389;316;17;12;5
0714003018;Braunshorn;225;125;100;3;.;.
0714003021;Buch, Hunsrück;362;196;166;5;5;0
0714003042;Gödenroth;193;108;85;.;0;.
0714003046;Hasselbach, Hunsrück;86;45;41;0;0;0
0714003055;Hollnich;108;59;49;3;.;.
0714003064;Kastellaun;1981;1076;905;90;49;41
0714003073;Korweiler;34;22;12;0;0;0
0714003095;Michelbach, Hunsrück;71;45;26;0;0;0
0714003131;Roth, Rhein-Hunsrück-Kr;102;54;48;4;.;.
0714003147;Spesenroth;59;35;24;0;0;0
0714003153;Uhler;118;68;50;3;.;.
0714003202;Dommershausen;396;238;158;7;.;.
0714003204;Mastershausen;403;216;187;17;7;10
0714003502;Lahr;60;34;26;.;.;.
0714003503;Mörsdorf;214;115;99;8;3;5
0714003504;Zilshausen;92;57;35;6;.;.
0714004;Kirchberg (Hunsrück), Verbandsgem.;8015;4481;3534;.;.;.
0714004006;Bärenbach b Simmern, Hunsrück;178;92;86;3;.;.
0714004007;Belg;51;30;21;.;.;0
0714004024;Büchenbeuren;696;397;299;72;51;21
0714004028;Dickenschied;300;163;137;5;.;.
0714004029;Dill;87;41;46;.;0;.
0714004030;Dillendorf;220;124;96;15;11;4
0714004040;Gehlweiler;107;61;46;0;0;0
0714004041;Gemünden, Hunsrück;420;240;180;13;.;.
0714004044;Hahn;87;47;40;3;.;.
0714004048;Hecken;42;25;17;.;.;0
0714004049;Heinzenbach;186;101;85;6;3;3
0714004050;Henau;48;28;20;.;.;.
0714004053;Hirschfeld (Hunsrück);130;76;54;0;0;0
0714004062;Kappel;213;123;90;8;5;3
0714004067;Kirchberg (Hunsrück);1539;876;663;76;62;14
0714004071;Kludenbach;43;21;22;0;0;0
0714004081;Laufersweiler;306;172;134;8;4;4
0714004082;Lautzenhausen;208;116;92;70;37;33
0714004086;Lindenschied;92;58;34;.;0;.
0714004090;Maitzborn;38;25;13;4;.;.
0714004094;Metzenhausen;48;31;17;0;0;0
0714004105;Nieder-Kostenz;72;41;31;.;0;.
0714004107;Niedersohren;198;106;92;6;3;3
0714004109;Niederweiler, Hunsrück;148;94;54;6;.;.
0714004111;Ober Kostenz;117;62;55;5;.;.
0714004120;Raversbeuren;44;23;21;0;0;0
0714004122;Reckershausen;149;82;67;.;.;0
0714004128;Rödelhausen;62;31;31;3;.;.
0714004129;Rödern;73;41;32;0;0;0
0714004130;Rohrbach, Hunsrück;52;32;20;0;0;0
0714004135;Schlierschied;79;42;37;0;0;0
0714004141;Schwarzen;52;23;29;.;0;.
0714004145;Sohren;1369;762;607;85;57;28
0714004146;Sohrschied;44;21;23;0;0;0
0714004151;Todenroth;30;17;13;.;.;0
0714004154;Unzenberg;164;87;77;6;.;.
0714004159;Wahlenau;82;39;43;.;.;0
0714004163;Womrath;83;48;35;.;.;.
0714004164;Woppenroth;95;49;46;0;0;0
0714004165;Würrich;63;34;29;.;.;0
0714005;Rheinböllen, Verbandsgem.;4010;2206;1804;.;.;.
0714005003;Argenthal;646;337;309;14;6;8
0714005011;Benzweiler;77;45;32;.;0;.
0714005027;Dichtelbach;279;159;120;13;13;0
0714005035;Ellern (Hunsrück);321;174;147;9;6;3
0714005037;Erbach, Hunsrück;105;54;51;.;.;.
0714005068;Kisselbach;255;152;103;17;11;6
0714005085;Liebshausen;188;103;85;11;8;3
0714005096;Mörschbach;135;76;59;.;.;0
0714005125;Rheinböllen;1593;874;719;165;109;56
0714005127;Riesweiler;263;145;118;8;.;.
0714005138;Schnorbach;95;58;37;.;.;0
0714005148;Steinbach, Hunsrück;53;29;24;0;0;0
0714006;Sankt Goar-Oberwesel, Verbandsgem.;3287;1768;1519;223;.;.
0714006025;Damscheid;262;137;125;17;10;7
0714006080;Laudert;159;93;66;6;.;.
0714006104;Niederburg;277;147;130;9;3;6
0714006112;Oberwesel;997;529;468;69;32;37
0714006116;Perscheid;112;64;48;3;.;.
0714006133;Sankt Goar;974;510;464;78;42;36
0714006155;Urbar b St Goar;256;139;117;7;3;4
0714006161;Wiebelsheim;250;149;101;34;31;3
0714007;Simmern/Hunsrück, Verbandsgem.;7074;3883;3191;.;.;.
0714007002;Altweidelbach;77;44;33;.;.;0
0714007008;Belgweiler;98;59;39;.;.;.
0714007012;Bergenhausen;42;23;19;0;0;0
0714007015;Biebern;110;62;48;3;.;.
0714007020;Bubach;114;64;50;.;.;0
0714007023;Budenbach;81;42;39;.;.;.
0714007039;Fronhofen;112;53;59;0;0;0
0714007056;Holzbach;191;107;84;7;.;.
0714007058;Horn;134;74;60;8;4;4
0714007065;Keidelheim;117;56;61;.;.;.
0714007070;Klosterkumbd;99;56;43;.;0;.
0714007076;Külz (Hunsrück);224;125;99;4;.;.
0714007077;Kümbdchen;185;98;87;4;.;.
0714007079;Laubach b Kastellaun;165;96;69;7;4;3
0714007092;Mengerschied;301;163;138;7;4;3
0714007099;Mutterschied;196;107;89;6;.;.
0714007100;Nannhausen;231;113;118;10;6;4
0714007101;Neuerkirch;98;47;51;0;0;0
0714007106;Niederkumbd;120;66;54;.;0;.
0714007113;Ohlweiler;148;76;72;5;5;0
0714007115;Oppertshausen;47;24;23;.;.;0
0714007118;Pleizenhausen;104;53;51;3;.;.
0714007119;Ravengiersburg;130;75;55;4;.;.
0714007121;Rayerschied;49;21;28;0;0;0
0714007123;Reich;136;76;60;4;.;.
0714007126;Riegenroth;108;66;42;31;24;7
0714007134;Sargenroth;170;94;76;8;5;3
0714007139;Schönborn, Hunsrück;121;77;44;5;.;.
0714007144;Simmern/Hunsrück;2854;1561;1293;268;176;92
0714007150;Tiefenbach, Hunsrück;307;180;127;9;.;.
0714007158;Wahlbach;85;44;41;0;0;0
0714007166;Wüschheim;120;81;39;6;6;0
0714100075;Lahnstein, verbandsfr. Gemeinde;6346;3341;3005;483;276;207
0714101;Bad Ems, Verbandsgem.;5728;2986;2742;.;.;.
0714101006;Bad Ems;2993;1602;1391;335;198;137
0714101008;Becheln;274;155;119;.;.;.
0714101025;Dausenau;455;238;217;11;6;5
0714101041;Fachbach;499;242;257;16;8;8
0714101044;Frücht;211;105;106;.;.;.
0714101071;Kemmenau;180;86;94;.;0;.
0714101086;Miellen;155;74;81;4;.;.
0714101098;Nievern;346;189;157;4;.;.
0714101201;Arzbach;615;295;320;10;4;6
0714102;Braubach, Verbandsgem.;-;-;-;-;-;-
0714102023;Dachsenhausen;-;-;-;-;-;-
0714102042;Filsen;-;-;-;-;-;-
0714102066;Kamp-Bornhofen;-;-;-;-;-;-
0714102108;Osterspai;-;-;-;-;-;-
0714102501;Braubach;-;-;-;-;-;-
0714103;Diez, Verbandsgem.;8859;4708;4151;.;.;.
0714103002;Altendiez;832;417;415;44;30;14
0714103005;Aull;144;75;69;5;.;.
0714103014;Birlenbach;576;324;252;52;35;17
0714103021;Charlottenberg;43;20;23;0;0;0
0714103022;Cramberg;184;104;80;.;0;.
0714103029;Diez;3650;1925;1725;352;224;128
0714103030;Dörnberg;161;91;70;6;.;.
0714103038;Eppenrod;282;153;129;11;5;6
0714103045;Geilnau;142;79;63;7;3;4
0714103049;Gückingen;396;208;188;22;17;5
0714103052;Hambach;186;89;97;16;8;8
0714103053;Heistenbach;381;200;181;12;7;5
0714103057;Hirschberg, Rhein-Lahn-Kreis;137;67;70;.;0;.
0714103059;Holzappel;418;216;202;10;5;5
0714103061;Holzheim, Rhein-Lahn-Kreis;322;176;146;9;.;.
0714103062;Horhausen, Rhein-Lahn-Kreis;100;57;43;.;.;.
0714103064;Isselbach;139;76;63;5;.;.
0714103076;Langenscheid;166;96;70;5;.;.
0714103077;Laurenburg;81;45;36;3;0;3
0714103124;Scheidt;111;60;51;0;0;0
0714103130;Steinsberg;94;55;39;.;0;.
0714103133;Wasenbach;132;79;53;.;.;.
0714103503;Balduinstein;182;96;86;6;.;.
0714104;Hahnstätten, Verbandsgem.;3552;1953;1599;216;.;.
0714104020;Burgschwalbach;374;204;170;17;12;5
0714104043;Flacht;426;231;195;11;.;.
0714104051;Hahnstätten;1037;578;459;117;72;45
0714104065;Kaltenholzhausen;231;115;116;7;3;4
0714104081;Lohrheim;211;125;86;19;14;5
0714104089;Mudershausen;147;86;61;4;.;.
0714104093;Netzbach;147;95;52;10;.;.
0714104095;Niederneisen;541;281;260;18;14;4
0714104102;Oberneisen;334;189;145;7;3;4
0714104125;Schiesheim;104;49;55;6;.;.
0714105;Katzenelnbogen, Verbandsgem.;3589;1932;1657;.;.;.
0714105001;Allendorf, Rhein-Lahn-Kreis;273;151;122;8;.;.
0714105010;Berghausen;142;83;59;4;4;0
0714105011;Berndroth;158;88;70;.;0;.
0714105013;Biebrich;134;75;59;0;0;0
0714105018;Bremberg;102;62;40;0;0;0
0714105032;Dörsdorf;166;83;83;3;.;.
0714105034;Ebertshausen;47;25;22;0;0;0
0714105036;Eisighofen;113;71;42;4;.;.
0714105039;Ergeshausen;51;32;19;.;.;0
0714105050;Gutenacker;140;76;64;.;0;.
0714105054;Herold;148;68;80;3;.;.
0714105068;Katzenelnbogen;802;424;378;94;55;39
0714105073;Klingelbach;287;154;133;10;7;3
0714105074;Kördorf;214;113;101;4;.;.
0714105088;Mittelfischbach;43;24;19;0;0;0
0714105096;Niedertiefenbach;77;44;33;.;.;.
0714105101;Oberfischbach;75;40;35;3;.;.
0714105113;Reckenroth;78;41;37;.;.;0
0714105117;Rettert;162;88;74;3;.;.
0714105118;Roth, Rhein-Lahn-Kreis;70;35;35;.;0;.
0714105126;Schönborn, Rhein-Lahn-Kreis;307;155;152;7;.;.
0714106;Nassau, Verbandsgem.;4420;2381;2039;.;.;.
0714106003;Attenhausen;162;89;73;4;.;.
0714106026;Dessighofen;71;39;32;.;0;.
0714106027;Dienethal;86;47;39;4;.;.
0714106033;Dornholzhausen;92;45;47;.;0;.
0714106046;Geisig;138;78;60;.;.;.
0714106058;Hömberg;138;78;60;3;.;.
0714106082;Lollschied;84;47;37;0;0;0
0714106087;Misselberg;37;22;15;.;0;.
0714106091;Nassau;1729;936;793;139;84;55
0714106103;Obernhof;130;65;65;5;.;.
0714106106;Oberwies;54;26;28;0;0;0
0714106111;Pohl;145;85;60;0;0;0
0714106127;Schweighausen;108;52;56;.;.;.
0714106128;Seelbach b Nassau, Lahn;164;93;71;.;0;.
0714106129;Singhofen;737;382;355;14;5;9
0714106132;Sulzbach, Rhein-Lahn-Kreis;87;50;37;.;.;0
0714106135;Weinähr;161;92;69;10;4;6
0714106139;Winden, Rhein-Lahn-Kreis;256;134;122;5;.;.
0714106141;Zimmerschied;41;21;20;0;0;0
0714107;Nastätten, Verbandsgem.;6304;3366;2938;.;.;.
0714107009;Berg, Taunus;114;64;50;.;0;.
0714107012;Bettendorf;131;76;55;.;0;.
0714107015;Bogel;301;163;138;7;3;4
0714107019;Buch, Taunus;232;123;109;12;.;.
0714107035;Ehr;40;22;18;0;0;0
0714107037;Endlichhofen;49;29;20;.;0;.
0714107040;Eschbach b Nastätten;55;24;31;0;0;0
0714107047;Gemmerich;218;118;100;.;.;.
0714107055;Himmighofen;120;67;53;3;.;.
0714107060;Holzhausen an der Haide;478;252;226;20;12;8
0714107063;Hunzel;101;56;45;.;0;.
0714107067;Kasdorf;101;57;44;.;0;.
0714107070;Kehlbach;60;33;27;0;0;0
0714107078;Lautert;89;45;44;3;.;.
0714107080;Lipporn;98;50;48;.;.;0
0714107084;Marienfels;117;66;51;.;.;0
0714107085;Miehlen;824;436;388;22;10;12
0714107092;Nastätten;1540;798;742;86;49;37
0714107094;Niederbachheim;110;59;51;.;.;0
0714107097;Niederwallmenach;153;85;68;7;.;.
0714107100;Oberbachheim;87;52;35;.;.;0
0714107104;Obertiefenbach;192;101;91;.;.;.
0714107105;Oberwallmenach;75;38;37;.;.;0
0714107107;Oelsberg;212;113;99;3;.;.
0714107110;Hainau;66;35;31;0;0;0
0714107116;Rettershain;126;74;52;6;.;.
0714107120;Ruppertshofen, Taunus;127;63;64;.;0;.
0714107131;Strüth;127;66;61;3;.;.
0714107134;Weidenbach, Taunus;51;31;20;.;.;.
0714107137;Welterod;168;92;76;3;.;.
0714107140;Winterwerb;69;43;26;.;.;0
0714107502;Diethardt;73;35;38;.;0;.
0714108;Loreley, Verbandsgem.;-;-;-;-;-;-
0714108004;Auel;-;-;-;-;-;-
0714108016;Bornich;-;-;-;-;-;-
0714108024;Dahlheim;-;-;-;-;-;-
0714108031;Dörscheid;-;-;-;-;-;-
0714108069;Kaub;-;-;-;-;-;-
0714108072;Kestert;-;-;-;-;-;-
0714108079;Lierschied;-;-;-;-;-;-
0714108083;Lykershausen;-;-;-;-;-;-
0714108099;Nochern;-;-;-;-;-;-
0714108109;Patersberg;-;-;-;-;-;-
0714108112;Prath;-;-;-;-;-;-
0714108114;Reichenberg, Rhein-Lahn-Kreis;-;-;-;-;-;-
0714108115;Reitzenhain;-;-;-;-;-;-
0714108121;Sankt Goarshausen;-;-;-;-;-;-
0714108122;Sauerthal;-;-;-;-;-;-
0714108136;Weisel;-;-;-;-;-;-
0714108138;Weyer;-;-;-;-;-;-
0714109;Loreley, Verbandsgem.;5968;3234;2734;.;.;.
0714109004;Auel;69;37;32;.;.;.
0714109016;Bornich;346;188;158;.;0;.
0714109023;Dachsenhausen;379;202;177;5;.;.
0714109024;Dahlheim;329;191;138;11;.;.
0714109031;Dörscheid;142;71;71;10;6;4
0714109042;Filsen;242;126;116;19;15;4
0714109066;Kamp-Bornhofen;472;233;239;59;24;35
0714109069;Kaub, Stadt;310;176;134;25;11;14
0714109072;Kestert;200;112;88;19;10;9
0714109079;Lierschied;171;91;80;6;3;3
0714109083;Lykershausen;79;41;38;.;.;.
0714109099;Nochern;174;104;70;7;7;0
0714109108;Osterspai;450;230;220;29;14;15
0714109109;Patersberg;136;73;63;.;0;.
0714109112;Prath;111;60;51;.;0;.
0714109114;Reichenberg;63;34;29;4;.;.
0714109115;Reitzenhain;120;61;59;0;0;0
0714109121;Sankt Goarshausen, Loreleystadt, Stadt;445;252;193;80;51;29
0714109122;Sauerthal;48;30;18;8;4;4
0714109136;Weisel;389;226;163;16;8;8
0714109138;Weyer;175;92;83;.;.;0
0714109501;Braubach, Stadt;1118;604;514;71;42;29
0714301;Bad Marienberg (Westerwald), Verbandsgem.;7243;4272;2971;.;.;.
0714301206;Bad Marienberg (Westerwald);2002;1216;786;194;156;38
0714301211;Bölsberg;86;51;35;0;0;0
0714301216;Dreisbach;235;134;101;3;3;0
0714301222;Fehl-Ritzhausen;360;211;149;12;9;3
0714301227;Großseifen;214;135;79;8;.;.
0714301231;Hahn bei Marienberg;201;120;81;13;10;3
0714301234;Hardt, Westerwald;131;69;62;4;4;0
0714301243;Hof;523;296;227;18;12;6
0714301248;Kirburg;228;134;94;14;.;.
0714301253;Langenbach bei Kirburg;352;217;135;.;.;.
0714301255;Lautzenbrücken;151;94;57;5;.;.
0714301264;Mörlen;237;147;90;.;.;.
0714301270;Neunkhausen;455;271;184;6;3;3
0714301277;Nisterau;336;198;138;5;.;.
0714301279;Nistertal;452;273;179;12;.;.
0714301280;Norken;377;201;176;19;9;10
0714301297;Stockhausen-Illfurth;193;110;83;6;6;0
0714301300;Unnau;710;395;315;36;24;12
0714302;Hachenburg, Verbandsgem.;8967;4998;3969;.;.;.
0714302202;Alpenrod;617;353;264;22;17;5
0714302204;Astert;89;45;44;3;.;.
0714302205;Atzelgift;262;156;106;10;3;7
0714302212;Borod;199;106;93;6;3;3
0714302215;Dreifelden;79;43;36;.;.;.
0714302223;Gehlert;236;131;105;9;.;.
0714302225;Giesenhausen;146;79;67;3;.;.
0714302229;Hachenburg;2062;1065;997;138;90;48
0714302235;Hattert;697;387;310;9;4;5
0714302236;Heimborn;106;70;36;3;3;0
0714302240;Heuzert;47;29;18;0;0;0
0714302241;Höchstenbach;268;166;102;19;15;4
0714302250;Kroppach;226;121;105;.;0;.
0714302252;Kundert;107;63;44;0;0;0
0714302257;Limbach, Westerwald;161;95;66;.;0;.
0714302258;Linden, Westerwald;45;25;20;.;.;0
0714302259;Lochum;118;66;52;3;3;0
0714302260;Luckenbach;236;139;97;6;.;.
0714302261;Marzhausen;86;53;33;4;.;.
0714302262;Merkelbach;141;80;61;.;0;.
0714302265;Mörsbach;168;93;75;3;.;.
0714302267;Mudenbach;266;145;121;4;.;.
0714302268;Mündersbach;324;171;153;5;.;.
0714302269;Müschenbach;395;213;182;11;8;3
0714302276;Nister;345;206;139;14;11;3
0714302287;Roßbach, Westerwald;332;188;144;10;6;4
0714302294;Steinebach an der Wied;308;186;122;10;7;3
0714302296;Stein-Wingert;51;32;19;0;0;0
0714302299;Streithausen;214;118;96;3;.;.
0714302301;Wahlrod;315;189;126;14;11;3
0714302306;Welkenbach;66;32;34;0;0;0
0714302310;Wied;172;102;70;9;6;3
0714302313;Winkelbach;83;51;32;4;.;.
0714303;Höhr-Grenzhausen, Verbandsgem.;4896;2651;2245;.;.;.
0714303030;Hilgert;565;296;269;24;17;7
0714303031;Hillscheid;925;490;435;55;32;23
0714303032;Höhr-Grenzhausen;3307;1812;1495;488;320;168
0714303040;Kammerforst, Westerwald;99;53;46;.;.;.
0714304;Montabaur, Verbandsgem.;14879;7854;7025;833;.;.
0714304005;Boden;224;119;105;11;8;3
0714304008;Daubach, Westerwald;165;87;78;7;3;4
0714304013;Eitelborn;874;426;448;40;26;14
0714304020;Gackenbach;223;120;103;4;.;.
0714304021;Girod;495;267;228;23;16;7
0714304023;Görgeshausen;365;214;151;15;11;4
0714304024;Großholbach;405;202;203;15;8;7
0714304026;Heilberscheid;254;134;120;4;4;0
0714304027;Heiligenroth;575;294;281;24;18;6
0714304033;Holler;413;221;192;10;5;5
0714304034;Horbach, Westerwald;252;139;113;5;.;.
0714304036;Hübingen;231;122;109;6;.;.
0714304039;Kadenbach;489;249;240;18;14;4
0714304048;Montabaur;4897;2613;2284;445;270;175
0714304051;Nentershausen, Westerwald;791;429;362;51;31;20
0714304052;Neuhäusel;641;314;327;32;22;10
0714304053;Niederelbert;655;347;308;27;14;13
0714304054;Niedererbach;373;199;174;11;8;3
0714304055;Nomborn;295;146;149;8;4;4
0714304057;Oberelbert;449;253;196;11;7;4
0714304065;Ruppach-Goldhausen;443;244;199;14;10;4
0714304071;Simmern;512;268;244;29;21;8
0714304072;Stahlhofen;298;157;141;7;.;.
0714304077;Untershausen;217;112;105;10;4;6
0714304079;Welschneudorf;343;178;165;6;3;3
0714305;Ransbach-Baumbach, Verbandsgem.;5591;3099;2492;.;.;.
0714305001;Alsbach;266;144;122;20;12;8
0714305006;Breitenau, Westerwald;283;158;125;9;6;3
0714305007;Caan;279;142;137;9;5;4
0714305009;Deesen;240;125;115;8;.;.
0714305038;Hundsdorf;157;94;63;8;.;.
0714305050;Nauort;868;459;409;36;18;18
0714305059;Oberhaid, Westerwald;172;92;80;.;0;.
0714305062;Ransbach-Baumbach;2766;1575;1191;563;392;171
0714305068;Sessenbach;195;106;89;10;5;5
0714305082;Wirscheid;121;68;53;.;.;.
0714305084;Wittgert;244;136;108;10;5;5
0714306;Rennerod, Verbandsgem.;6441;3792;2649;.;.;.
0714306214;Bretthausen;100;59;41;3;.;.
0714306218;Elsoff (Westerwald);325;188;137;7;.;.
0714306237;Hellenhahn-Schellenberg;485;284;201;16;12;4
0714306244;Homberg, Westerwald;83;47;36;.;.;.
0714306245;Hüblingen;110;61;49;3;.;.
0714306246;Irmtraut;255;152;103;18;14;4
0714306256;Liebenscheid;370;234;136;22;.;.
0714306271;Neunkirchen, Westerwald;210;112;98;8;5;3
0714306272;Neustadt/Westerwald;227;135;92;6;.;.
0714306274;Niederroßbach;296;177;119;9;5;4
0714306278;Nister-Möhrendorf;123;71;52;7;4;3
0714306282;Oberrod;270;171;99;21;.;.
0714306283;Oberroßbach;143;86;57;6;.;.
0714306285;Rehe;386;243;143;8;.;.
0714306286;Rennerod;1517;892;625;129;97;32
0714306291;Salzburg;77;41;36;0;0;0
0714306292;Seck;448;256;192;25;17;8
0714306295;Stein-Neukirch;168;89;79;8;.;.
0714306302;Waigandshain;93;55;38;4;.;.
0714306303;Waldmühlen;133;74;59;6;3;3
0714306309;Westernohe;363;215;148;19;10;9
0714306311;Willingen;107;62;45;.;.;.
0714306315;Zehnhausen bei Rennerod;152;88;64;4;4;0
0714307;Selters (Westerwald), Verbandsgem.;6167;3541;2626;.;.;.
0714307015;Ellenhausen;100;52;48;.;.;0
0714307018;Freilingen;270;143;127;11;5;6
0714307019;Freirachdorf;261;161;100;11;8;3
0714307022;Goddert;177;105;72;11;.;.
0714307025;Hartenfels;341;196;145;9;6;3
0714307029;Herschbach;996;558;438;78;53;25
0714307041;Krümmel;128;78;50;9;.;.
0714307044;Marienrachdorf;372;210;162;3;0;3
0714307045;Maroth;67;42;25;.;.;0
0714307046;Maxsain;399;237;162;17;14;3
0714307056;Nordhofen;209;115;94;8;.;.
0714307061;Quirnbach;217;114;103;10;6;4
0714307064;Rückeroth;199;113;86;14;9;5
0714307066;Schenkelberg;240;135;105;3;3;0
0714307067;Selters (Westerwald);982;583;399;190;136;54
0714307069;Sessenhausen;383;214;169;23;13;10
0714307075;Steinen, Westerwald;87;55;32;4;.;.
0714307078;Vielbach;216;122;94;9;4;5
0714307085;Wölferlingen;185;112;73;6;.;.
0714307221;Ewighausen;102;61;41;4;.;.
0714307305;Weidenhahn;236;135;101;15;12;3
0714308;Wallmerod, Verbandsgem.;5752;3184;2568;.;.;.
0714308011;Dreikirchen;387;209;178;22;17;5
0714308037;Hundsangen;806;447;359;51;37;14
0714308058;Obererbach;218;121;97;3;3;0
0714308074;Steinefrenz;326;182;144;19;14;5
0714308080;Weroth;226;132;94;10;.;.
0714308203;Arnshöfen;54;26;28;.;0;.
0714308208;Berod bei Wallmerod;219;138;81;16;11;5
0714308210;Bilkheim;193;107;86;6;.;.
0714308220;Ettinghausen;135;73;62;5;.;.
0714308232;Hahn am See;156;84;72;7;.;.
0714308239;Herschbach (Oberwesterwald);354;193;161;7;.;.
0714308251;Kuhnhöfen;71;44;27;.;0;.
0714308263;Meudt;743;399;344;46;33;13
0714308266;Molsberg;159;92;67;.;.;0
0714308273;Niederahr;350;193;157;23;14;9
0714308281;Oberahr;236;124;112;8;3;5
0714308290;Salz, Westerwald;367;198;169;9;4;5
0714308304;Wallmerod;489;267;222;50;33;17
0714308316;Zehnhausen bei Wallmerod;78;49;29;0;0;0
0714308501;Elbingen;103;59;44;3;0;3
0714308502;Mähren;82;47;35;.;.;0
0714309;Westerburg, Verbandsgem.;8554;4830;3724;.;.;.
0714309200;Ailertchen;244;142;102;8;.;.
0714309207;Bellingen, Westerwald;224;121;103;6;.;.
0714309209;Berzhahn;178;105;73;3;.;.
0714309213;Brandscheid, Westerwald;207;124;83;6;.;.
0714309219;Enspel;111;64;47;4;0;4
0714309224;Gemünden, Westerwald;352;191;161;20;13;7
0714309226;Girkenroth;221;131;90;.;0;.
0714309228;Guckheim;376;220;156;13;10;3
0714309230;Härtlingen;150;86;64;.;0;.
0714309233;Halbs;142;86;56;5;.;.
0714309238;Hergenroth;166;91;75;8;5;3
0714309242;Höhn;1201;667;534;58;42;16
0714309247;Kaden;232;138;94;6;.;.
0714309249;Kölbingen;406;227;179;15;11;4
0714309254;Langenhahn;513;288;225;23;13;10
0714309284;Pottum;370;221;149;7;4;3
0714309288;Rotenhain;190;110;80;10;.;.
0714309289;Rothenbach;348;195;153;8;4;4
0714309293;Stahlhofen am Wiesensee;124;76;48;7;.;.
0714309298;Stockum-Püschen;279;161;118;9;.;.
0714309307;Weltersburg;101;58;43;.;0;.
0714309308;Westerburg;1981;1086;895;160;107;53
0714309312;Willmenrod;246;134;112;17;13;4
0714309314;Winnen;192;108;84;16;.;.
0714310;Wirges, Verbandsgem.;7231;4058;3173;700;.;.
0714310003;Bannberscheid;261;151;110;9;.;.
0714310010;Dernbach (Westerwald);875;476;399;80;52;28
0714310012;Ebernhahn;467;261;206;38;25;13
0714310028;Helferskirchen;443;246;197;32;21;11
0714310042;Leuterod;349;188;161;5;.;.
0714310047;Mogendorf;537;320;217;82;65;17
0714310049;Moschheim;289;163;126;17;13;4
0714310060;Ötzingen;577;340;237;30;18;12
0714310070;Siershahn;1052;603;449;152;114;38
0714310073;Staudt;474;259;215;15;9;6
0714310081;Wirges;1845;1015;830;240;160;80
0714310275;Niedersayn;62;36;26;0;0;0
07211000;Trier, krsfr. Stadt;32165;16016;16149;2738;1504;1234
0723100134;Wittlich, verbandsfr. Gemeinde;6662;3570;3092;787;519;268
0723100502;Morbach, verbandsfr. Gemeinde;4206;2464;1742;138;86;52
0723101;Bernkastel-Kues, Verbandsgem.;10566;5635;4931;852;.;.
0723101008;Bernkastel-Kues;2641;1331;1310;372;203;169
0723101012;Brauneberg;416;223;193;46;23;23
0723101016;Burgen b Bernkastel-Kues;213;110;103;9;3;6
0723101030;Erden;149;83;66;13;6;7
0723101040;Gornhausen;87;46;41;0;0;0
0723101041;Graach an der Mosel;260;157;103;17;9;8
0723101056;Hochscheid;126;74;52;3;.;.
0723101066;Kesten;120;62;58;5;.;.
0723101070;Kleinich;236;140;96;5;.;.
0723101071;Kommen;134;74;60;0;0;0
0723101075;Lieser;516;276;240;37;24;13
0723101076;Lösnich;180;102;78;30;17;13
0723101077;Longkamp;474;254;220;8;5;3
0723101081;Maring-Noviand;528;284;244;17;11;6
0723101086;Minheim;159;93;66;9;6;3
0723101087;Monzelfeld;472;259;213;24;16;8
0723101090;Mülheim (Mosel);415;213;202;25;18;7
0723101092;Neumagen-Dhron;856;472;384;81;46;35
0723101105;Piesport;714;372;342;49;29;20
0723101125;Ürzig;327;182;145;27;16;11
0723101126;Veldenz;359;192;167;11;5;6
0723101133;Wintrich;313;159;154;12;3;9
0723101136;Zeltingen-Rachtig;871;477;394;52;35;17
0723102;Kröv-Bausendorf, Verbandsgem.;-;-;-;-;-;-
0723102004;Bausendorf;-;-;-;-;-;-
0723102005;Bengel;-;-;-;-;-;-
0723102020;Diefenbach;-;-;-;-;-;-
